# Pin Out For ECP5UM-25,,,,,,,
# Revision 1.0,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
248,PR17A,2,-,True_OF_PR17B,TRUE,RDQ20,D3
249,PR14D,2,-,Comp_OF_PR14C,-,RDQ20,C3
250,VCCIO2,-,-,-,-,-,-
251,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ20,C4
252,PR14C,2,VREF1_2,True_OF_PR14D,-,RDQ20,B4
253,VSSIO2,-,-,-,-,-,-
254,PR14A,2,-,True_OF_PR14B,TRUE,RDQ20,D4
255,PR11D,2,-,Comp_OF_PR11C,-,RDQ8,-
256,VCCIO2,-,-,-,-,-,-
257,PR11B,2,-,Comp_OF_PR11A,TRUE,RDQ8,A4
258,PR11C,2,-,True_OF_PR11D,-,RDQ8,-
259,VSSIO2,-,-,-,-,-,-
260,PR11A,2,-,True_OF_PR11B,TRUE,RDQ8,A6
261,PR8D,2,-,Comp_OF_PR8C,-,RDQ8,-
262,VSS,-,-,-,-,-,-
263,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,A7
264,PR8C,2,-,True_OF_PR8D,-,RDQ8,-
265,VCC,-,-,-,-,-,-
266,PR8A,2,-,True_OF_PR8B,TRUE,RDQS8,B6
267,PR5D,2,-,Comp_OF_PR5C,-,RDQ8,-
268,VSS,-,-,-,-,-,-
269,PR5B,2,-,Comp_OF_PR5A,TRUE,RDQ8,C6
270,PR5C,2,-,True_OF_PR5D,-,RDQ8,-
271,VCCAUX,-,-,-,-,-,-
272,PR5A,2,-,True_OF_PR5B,TRUE,RDQ8,D6
273,PR2D,2,-,Comp_OF_PR2C,-,RDQ8,-
274,VCCIO2,-,-,-,-,-,-
275,PR2C,2,-,True_OF_PR2D,-,RDQ8,-
276,VSSIO2,-,-,-,-,-,-
277,PR2B,2,S0_IN,Comp_OF_PR2A,TRUE,RDQ8,B7
278,PR2A,2,-,True_OF_PR2B,TRUE,RDQ8,C7
279,GND,-,-,-,-,-,-
280,VCC,-,-,-,-,-,-
281,VSS,-,-,-,-,-,-
282,VCC,-,-,-,-,-,-
283,PT67B,1,-,Comp_OF_PT67A,-,-,C8
284,VCCIO1,-,-,-,-,-,-
285,PT65B,1,-,Comp_OF_PT65A,-,-,-
286,PT67A,1,-,True_OF_PT67B,-,-,B8
287,VSSIO1,-,-,-,-,-,-
288,PT65A,1,-,True_OF_PT65B,-,-,-
289,PT62B,1,-,Comp_OF_PT62A,-,-,-
290,VSS,-,-,-,-,-,-
291,PT60B,1,-,Comp_OF_PT60A,-,-,-
292,PT62A,1,-,True_OF_PT62B,-,-,-
293,VCC,-,-,-,-,-,-
294,PT60A,1,-,True_OF_PT60B,-,-,-
295,PT58B,1,-,Comp_OF_PT58A,-,-,-
296,VSS,-,-,-,-,-,-
297,PT56B,1,-,Comp_OF_PT56A,-,-,-
298,PT58A,1,-,True_OF_PT58B,-,-,-
299,VCCAUX,-,-,-,-,-,-
300,PT56A,1,-,True_OF_PT56B,-,-,-
301,PT53B,1,-,Comp_OF_PT53A,-,-,-
302,VCCIO1,-,-,-,-,-,-
303,PT51B,1,-,Comp_OF_PT51A,-,-,-
304,PT53A,1,-,True_OF_PT53B,-,-,-
305,VSSIO1,-,-,-,-,-,-
306,PT51A,1,-,True_OF_PT51B,-,-,-
307,PT49B,1,-,Comp_OF_PT49A,-,-,-
308,VCCIO1,-,-,-,-,-,-
309,PT47B,1,-,Comp_OF_PT47A,-,-,-
310,PT49A,1,-,True_OF_PT49B,-,-,-
311,VSSIO1,-,-,-,-,-,-
312,PT47A,1,-,True_OF_PT47B,-,-,-
313,PT44B,1,-,Comp_OF_PT44A,-,-,-
314,VSS,-,-,-,-,-,-
315,PT42B,1,-,Comp_OF_PT42A,-,-,-
316,PT44A,1,-,True_OF_PT44B,-,-,-
317,VCC,-,-,-,-,-,-
318,PT42A,1,-,True_OF_PT42B,-,-,-
319,PT40B,1,-,Comp_OF_PT40A,-,-,-
320,VSS,-,-,-,-,-,-
321,PT38B,1,GR_PCLK1_1,Comp_OF_PT38A,-,-,-
322,PT40A,1,-,True_OF_PT40B,-,-,-
323,VCCAUX,-,-,-,-,-,-
324,PT38A,1,GR_PCLK1_0,True_OF_PT38B,-,-,-
325,PT35B,1,PCLKC1_0,Comp_OF_PT35A,-,-,A8
326,VCCIO1,-,-,-,-,-,-
327,PT33B,1,PCLKC1_1,Comp_OF_PT33A,-,-,C9
328,PT35A,1,PCLKT1_0,True_OF_PT35B,-,-,A9
329,VSSIO1,-,-,-,-,-,-
330,PT33A,1,PCLKT1_1,True_OF_PT33B,-,-,B9
331,VSS,-,-,-,-,-,-
332,VCC,-,-,-,-,-,-
333,PT29B,0,PCLKC0_0,Comp_OF_PT29A,-,-,C10
334,VCCIO0,-,-,-,-,-,-
335,PT27B,0,PCLKC0_1,Comp_OF_PT27A,-,-,A10
336,PT29A,0,PCLKT0_0,True_OF_PT29B,-,-,B10
337,VSSIO0,-,-,-,-,-,-
338,PT27A,0,PCLKT0_1,True_OF_PT27B,-,-,A11
339,PT24B,0,GR_PCLK0_0,Comp_OF_PT24A,-,-,-
340,VSS,-,-,-,-,-,-
341,PT22B,0,-,Comp_OF_PT22A,-,-,-
342,PT24A,0,GR_PCLK0_1,True_OF_PT24B,-,-,-
343,VCC,-,-,-,-,-,-
344,PT22A,0,-,True_OF_PT22B,-,-,-
345,PT20B,0,-,Comp_OF_PT20A,-,-,-
346,VSS,-,-,-,-,-,-
347,PT18B,0,-,Comp_OF_PT18A,-,-,-
348,PT20A,0,-,True_OF_PT20B,-,-,-
349,VCCAUX,-,-,-,-,-,-
350,PT18A,0,-,True_OF_PT18B,-,-,-
351,PT15B,0,-,Comp_OF_PT15A,-,-,-
352,VCCIO0,-,-,-,-,-,-
353,PT13B,0,-,Comp_OF_PT13A,-,-,-
354,PT15A,0,-,True_OF_PT15B,-,-,-
355,VSSIO0,-,-,-,-,-,-
356,PT13A,0,-,True_OF_PT13B,-,-,-
357,PT11B,0,-,Comp_OF_PT11A,-,-,-
358,VCCIO0,-,-,-,-,-,-
359,PT9B,0,-,Comp_OF_PT9A,-,-,-
360,PT11A,0,-,True_OF_PT11B,-,-,-
361,VSSIO0,-,-,-,-,-,-
362,PT9A,0,-,True_OF_PT9B,-,-,-
363,PT6B,0,-,Comp_OF_PT6A,-,-,-
